No,;Time;;Time 1;Time 2;Delay ;;Delay 1;Delay 2;Jitter
159;1,102630;;1,102630;1,102630;0;;0;0;0
160;1,102630;;1,102630;1,102630;0;;0;0;0
161;1,102630;;1,102630;1,102630;0;;0;0;0
162;1,102630;;1,102630;1,102630;0;;0;0;0
163;1,102630;;1,102630;1,102630;0;;0;0;0
164;1,102630;;1,102630;1,102630;0;;0;0;0
165;1,102630;;1,102630;1,102630;0;;-0,000701;0,000701;0,001402
166;1,102630;;1,102630;1,103331;0,000701;;-0,00378;0,004481;0,008261
167;1,103331;;1,103331;1,107812;0,004481;;-0,010775;0,015256;0,026031
168;1,107812;;1,107812;1,123068;0,015256;;0,015256;0;-0,015256
169;1,123068;;1,123068;1,123068;0;;0;0;0
170;1,123068;;1,123068;1,123068;0;;0;0;0
171;1,123068;;1,123068;1,123068;0;;-0,00017;0,00017;0,00034
172;1,123068;;1,123068;1,123238;0,00017;;-0,01549;0,01566;0,03115
173;1,123238;;1,123238;1,138898;0,01566;;-0,015215;0,030875;0,04609
174;1,138898;;1,138898;1,169773;0,030875;;0,030875;0;-0,030875
175;1,169773;;1,169773;1,169773;0;;0;0;0
176;1,169773;;1,169773;1,169773;0;;0;0;0
177;1,169773;;1,169773;1,169773;0;;0;0;0
178;1,169773;;1,169773;1,169773;0;;0;0;0
179;1,169773;;1,169773;1,169773;0;;0;0;0
180;1,169773;;1,169773;1,169773;0;;0;0;0
181;1,169773;;1,169773;1,169773;0;;-0,015256;0,015256;0,030512
182;1,169773;;1,169773;1,185029;0,015256;;-0,078359;0,093615;0,171974
183;1,185029;;1,185029;1,278644;0,093615;;0,093615;0;-0,093615
184;1,278644;;1,278644;1,278644;0;;0;0;0
185;1,278644;;1,278644;1,278644;0;;-0,000224;0,000224;0,000448
186;1,278644;;1,278644;1,278868;0,000224;;0,000148;7,6E-05;-7,2E-05
187;1,278868;;1,278868;1,278944;7,6E-05;;4,4E-05;3,2E-05;-1,2E-05
